Saap Saap Thai - Funan ,'latitude': 1.2912451670268035, 'longitude': 103.85020825460789
Mr. Coconut - One Raffles Place ,'latitude': 1.284162, 'longitude': 103.851186
McDonald's - Boat Quay ,'latitude': 1.2857211372800634, 'longitude': 103.84982956837393
Popeyes - Bugis ,'latitude': 1.29985, 'longitude': 103.854889
Paradise Classic - Marina Bay Link Mall ,'latitude': 1.2798001, 'longitude': 103.85288345000001
Guzman Y Gomez - Funan ,'latitude': 1.2914432940603717, 'longitude': 103.85034534025522
Paradise Dynasty - Funan ,'latitude': 1.2916398986687483, 'longitude': 103.85064630185201
Qi Ji - Funan Mall ,'latitude': 1.291225275, 'longitude': 103.8502895637285
Song Fa Bak Kut Teh - New Bridge Road ,'latitude': 1.2890973, 'longitude': 103.84783774614333
CHICHA San Chen - Marina Square ,'latitude': 1.291438382772601, 'longitude': 103.8578792
Subway - One Raffles Place ,'latitude': 1.2840103452380953, 'longitude': 103.8510733
TamJai SamGor Mixian - Chinatown Point ,'latitude': 1.285413214, 'longitude': 103.8447619
Woobbee - Chinatown Point ,'latitude': 1.2853807, 'longitude': 103.84497195
Twyst Pasta - Raffles Place MRT Station ,'latitude': 1.283198225, 'longitude': 103.8512954
KOI Thé  Express - Raffles City Shopping Centre ,'latitude': 1.29333265, 'longitude': 103.85357558544861
4Fingers - Marina Square ,'latitude': 1.2920203813479532, 'longitude': 103.85619389264582
Shan Ji Lamian Xiao Long Bao Stall 41 - Seng Poh Road ,'latitude': 1.284812, 'longitude': 103.8322772
Tim Ho Wan - Marina Bay Sands ,'latitude': 1.282624, 'longitude': 103.8578
Paris Baguette - Hong Leong Building ,'latitude': 1.281162, 'longitude': 103.85044
Poke Theory - Change Alley Mall ,'latitude': 1.2841943, 'longitude': 103.85193480000001
Qin Ji Rougamo - One Raffles Place ,'latitude': 1.28400835, 'longitude': 103.85120835000001
Milksha - Funan Mall ,'latitude': 1.2914906653520775, 'longitude': 103.84973305
Pizza Hut - Kreta Ayer Road ,'latitude': 1.2806355727288121, 'longitude': 103.8423269482148
Jinjja Chicken Diner - Bugis + ,'latitude': 1.2997884488790326, 'longitude': 103.85410211737276
Gong Cha - One Raffles Place ,'latitude': 1.284172, 'longitude': 103.851174
MOS Burger - One Fullerton ,'latitude': 1.2864212, 'longitude': 103.85430495
Dunkin' Donuts - Funan Mall ,'latitude': 1.2914274, 'longitude': 103.85052218
Chic-a-boo - Marina Square ,'latitude': 1.29128913244429, 'longitude': 103.858715312898
Fat Mario - Robertson Quayside ,'latitude': 1.290265214868029, 'longitude': 103.83896400926841
Pasta Express - SMU Connexion ,'latitude': 1.2955566250000001, 'longitude': 103.8494292
LeNu - Funan ,'latitude': 1.2913773711119774, 'longitude': 103.8498679079259
Tiong Bahru Hainanese Boneless Chicken Rice - 56 Smith Street ,'latitude': 1.2828196757211288, 'longitude': 103.84335235359418
Ah Chiang's Porridge - Tiong Poh Road ,'latitude': 1.2831735565152387, 'longitude': 103.83312436490787
Tongue Tip Lanzhou Beef Noodles 舌尖尖 - Chinatown Point ,'latitude': 1.28537184521449, 'longitude': 103.844720522825
Bober Tea - Singapore Management University ,'latitude': 1.29605273538189, 'longitude': 103.850371457672
